,,,,,,,,,
Row ID,Category,Instruction,Context,Resonse,accuracy_score,helpfulness_score,relevance_score,safety_score,Notes
22,closed_qa,"Given a reference text about Ingwelala, tell me which game farms are on the reserve.","Ingwelala is a private stakeholder nature reserve on the bank of the Nhlaralumi River in the heart of the lowveld, about 65 km from the town of Hoedspruit. The reserve of some 3,000 hectares forms part of the Bushbuckridge Municipality, and adjoins the Umbabat Nature Reserve and the unfenced Kruger National Park.

Ingwelala includes the following game farms:

Argyle – 1,499 ha registered as Ingwelala Shareblock Ltd.
Buffelsbed – 1,018 ha registered as Buffelsbed Shareblock Ltd.
Goedehoop – 372 ha registered as Ingwelala Holdings Ltd.
Si Bon – 257 ha registered as Si Bon Property Holdings Ltd","Argyle, Buffelsbed, Goedehoop, and Si Bon are the game farms on Ingwelala.",5,5,5,5,
23,open_qa,Do archaeologists dig up dinosaurs?,,"No, archaeologists do not dig up dinosaurs. They study human culture; therefore, they dig sites relating to human occupation.",5,5,5,5,
24,brainstorming,How many triangles can be formed with 6 matchsticks of equal size without breaking or overlapping them?,,4 triangles if you arrange them in 3 dimension like a pyramid.,4,5,5,5,
25,general_qa,Why is the sky blue?,,"Blue light is scattered in all directions by the tiny molecules of air in Earth's atmosphere. Blue is scattered more than other colors because it travels as shorter, smaller waves. This is why we see a blue sky most of the time.",5,5,5,5,
26,open_qa,How do government control inflation?,,The most common way to control inflation is to reduce the supply of money in the economy. This is achieved by increasing the interest rates.,5,5,5,5,
27,open_qa,Name every month that has 30 days,,"January, March, April, May, June, July, August, September, October, November, December",4,4,5,5,Includes months with 31 days
28,classification,"Identify the bird from the list: Black mamba, Black grouse, Black magic",,Black grouse,5,5,5,5,
29,open_qa,What area in Washington is best known for its wine production?,,"The Columbia Valley American Viticultural Area, in the Columbia Valley Plateau of the central and southern regions of the state, is renowned for its wine production.",5,5,5,5,
30,summarization,Tell me some point by point details about Art Deco using given text as a reference,"Art Deco, short for the French Arts Décoratifs, and sometimes just called Deco, is a style of visual arts, architecture, and product design, that first appeared in France in the 1910s (just before World War I), and flourished in the United States and Europe during the 1920s and 1930s. Through styling and design of the exterior and interior of anything from large structures to small objects, including how people look (clothing, fashion and jewelry), Art Deco has influenced bridges, buildings (from skyscrapers to cinemas), ships, ocean liners, trains, cars, trucks, buses, furniture, and everyday objects like radios and vacuum cleaners.","1.	A style of visual arts, architecture, and product design, Art Deco—short for the French Arts Décoratifs—first debuted in France in the 1910s, soon before World War I, and flourished in the United States and Europe in the 1920s and 1930s.  
2.	Art Deco has influenced bridges, buildings (from skyscrapers to cinemas), ships, ocean liners, trains, cars, trucks, buses, furniture, and common household items like radios and vacuum cleaners.
3.	Art Deco has also influenced styling and design of the exterior and interior of anything from large structures to small objects, as well as how people look (clothing, fashion, and jewellery).",5,5,5,5,
31,brainstorming,Why is the immigration system broken?,,"The immigration system is broken because it is based on outdated policies and procedures, and does not reflect the realities of today's global economy. The current system is too expensive and inefficient, and fails to provide a fair and equitable solution for all migrants.",5,5,5,5,Presents a broad claim as fact and oversimplifies a very complex policy issue that varies by country.
32,classification,"Which of the following are considered golf clubs: woods, irons, jellies, sliders, hybrids, wedges, driver, squeaker, putters",,"woods, irons, hybrids, wedges, driver, putters",3,4,5,4,
33,classification,"Classify these countries into these continents (Asia, Africa, North America, South America, Europe, Australia/Oceania): Morocco, Vietnam, New Zealand, Chad, Afghanistan, Jordan, Lebanon, Monaco, Malta, Dominica, Paraguay",,"- Asia: Vietnam, Afghanistan, Jordan, Lebanon
- Africa: Morocco, Chad
- Europe: Monaco, Malta
- North America: Dominica
- South America: Paraguay
- Australia/Oceania: New Zealand",5,5,5,5,
34,closed_qa,What caused the 2007-2008 financial crisis?,"The preconditioning for the financial crisis were complex and multi-causal. Almost two decades prior, the U.S. Congress had passed legislation encouraging financing for affordable housing. However, in 1999, parts of the Glass-Steagall legislation, which had been adopted in 1933, were repealed, permitting financial institutions to commingle their commercial (risk-averse) and proprietary trading (risk-taking) operations. Arguably the largest contributor to the conditions necessary for financial collapse was the rapid development in predatory financial products which targeted low-income, low-information homebuyers who largely belonged to racial minorities. This market development went unattended by regulators and thus caught the U.S. government by surprise.","Arguably the largest contributor to the conditions necessary for the financial collapse was the rapid development of predatory financial products which targeted low-income, low-information homebuyers who largely belonged to racial minorities.",5,5,5,5,
35,information_extraction,Extract all of the names of people mentioned in this paragraph and list them using bullets in the format {Name},"The twelve-member basketball selection committee is made up of athletic directors and conference commissioners throughout Division I men's and women's athletics with separate committees for the men's and women's tournaments. The committees consist of one member selected from each of the five autonomy conferences and three members selected from the seven highest-ranked nonautonomy conferences based on basketball success. The remaining four members are selected from the 20 other conferences. All appointments are for five years. Historically the men's selection committee consisted of all men, and the women's selection committee consisted of all women. However, recently women have been serving on the men’s committee (including Judy Rose, Lynn Hickey, Janet Cone, and current member Bernadette McGlade), and men have been serving on the women’s committee (including Richard Ensor and current member Jeff Konya). The tournament selection is only part of the committee members' duties; the panels meet year-round (in-person or through conference calls) to discuss the tournament and its administration, evaluate teams, assign tournament game officials, and determine future tournament sites.","• Judy Rose
• Lynn Hickey
• Janet Cone
• Bernadette McGlade
• Richard Ensor
• Jeff Konya",4,4,5,3,
36,information_extraction,Why is it called the Hawaiian pizza?,"The addition of pineapple to the traditional mix of tomato sauce and cheese, along with either ham or bacon, later became popular locally and eventually became a staple offering of pizzerias on a global scale. The name of this creation is, in fact, actually not directly inspired by the U.S. state of Hawaii at all; Panopoulos chose the name Hawaiian after the brand of canned pineapple they were using at the time.",The name comes from the canned pineapple brand,5,5,5,5,Directly extracts the reason from the provided context.
37,creative_writing,What are foundational models?,,"Foundational Models as the name says can be the foundation for many applications of the AI Model, using self-supervised learning and transfer learning, the model can apply information it learnt about one situation to another. As an example. You learn to drive one car and without too much effort you can drive most of the other cars, even trucks or a bus.",5,5,5,5,
38,open_qa,How many keys are in a standard piano?,,There are 88 keys in a standard piano. It has been the standard since Steinway built their pianos in the 1880s. There are 52 white keys and 36 black keys.,4,4,5,5,
39,general_qa,What are the Regulations of Football?,,"The Fédération Internationale de Football Association rules football. Their headquarters were first founded in 1904 in Switzerland.

They currently have over 200 members around the world. FIFA governs all the rules and regulations of football as played in the English Premier League, United Kingdom.",5,5,5,5,Explains FIFA rather than the actual laws or regulations of football.
40,open_qa,When was the Hundred Years War and who fought in it?,,"The English and French fought from the mid-14th century well into the 15th century. The English king reigned over not only the British islands but in Normandy, France. (Read up on William the Conqueror for the story of how that came to be.) The result of this continental foothold meant that the English fought mostly in France, from Brittany to the south of France, and east towards Flanders.

Fighting in this time was particularly brutal. ""Men at Arms"" were knights, wearing full suits of armor. Supporting these Men at Arms were crossbowman (on the French side) and archers, using the English War Bow, on the English side. The War Bow was an extremely powerful weapon.",5,4,4,5,"Correct core answer, but adds historical detail instead of clearly stating the conventional dates."
41,classification,"Which of the following items are types of books: novels, biographies, historical fiction, reference texts, graphic novels, newspapers, magazines, flyers, pamphlets, pocket dictionaries.",,"novels, biographies, historical fiction, reference texts, graphic novels, pocket dictionaries",5,4,4,5,
42,summarization,What are some defining qualities of authoritarianism?,"Authoritarianism is a political system characterized by the rejection of political plurality, the use of strong central power to preserve the political status quo, and reductions in the rule of law, separation of powers, and democratic voting. Political scientists have created many typologies describing variations of authoritarian forms of government. Authoritarian regimes may be either autocratic or oligarchic and may be based upon the rule of a party or the military. States that have a blurred boundary between democracy and authoritarianism have some times been characterized as ""hybrid democracies"", ""hybrid regimes"" or ""competitive authoritarian"" states.

The political scientist Juan Linz, in an influential 1964 work, An Authoritarian Regime: Spain, defined authoritarianism as possessing four qualities:

Limited political pluralism, is realized with constraints on the legislature, political parties and interest groups.
Political legitimacy is based upon appeals to emotion and identification of the regime as a necessary evil to combat ""easily recognizable societal problems, such as underdevelopment or insurgency.""
Minimal political mobilization, and suppression of anti-regime activities.
Ill-defined executive powers, often vague and shifting extend the power of the executive.
Minimally defined, an authoritarian government lacks free and competitive direct elections to legislatures, free and competitive direct or indirect elections for executives, or both. Broadly defined, authoritarian states include countries that lack civil liberties such as freedom of religion, or countries in which the government and the opposition do not alternate in power at least once following free elections. Authoritarian states might contain nominally democratic institutions such as political parties, legislatures and elections which are managed to entrench authoritarian rule and can feature fraudulent, non-competitive elections. In contexts of democratic backsliding, scholars tend to identify authoritarian political leaders based on certain tactics, such as: politicizing independent institutions, spreading disinformation, aggrandizing executive power, quashing dissent, targeting vulnerable communities, stoking violence, and corrupting elections. Since 1946, the share of authoritarian states in the international political system increased until the mid-1970s but declined from then until the year 2000.","1. Limited political pluralism or outright rejection of political pluralism.
2. Lack of civil liberties
3. Lack of free, fair and competitive elections
4. So-called democratic institutions corrupted by authoritarian rule
5. Use of election tactics such as spreading misinformation, politicizing independent institutions, quashing dissent, engaging in culture wars, targeting vulnerable communities, stoking violence, and aggrandizing executive power.
6. Use of a strong central power to preserve the political status quo at the cost of basic democratic ideals such as the rule of law, separation of powers, and voting rights.",5,5,5,5,
43,general_qa,What is Ayurveda?,,"Ayurveda is a natural system of medicine that originated in India more than 3,000 years ago. The term Ayurveda is derived from the Sanskrit words ayur (life) and veda (science or knowledge). Thus, Ayurveda translates to knowledge of life. Based on the idea that disease is due to an imbalance or stress in a person's consciousness, Ayurveda encourages certain lifestyle interventions and natural therapies to regain a balance between the body, mind, spirit, and the environment.",5,5,5,5,
44,open_qa,What is skydiving?,,Skydiving is considering a thrill seeking opportunity.  It can be classified as a risky sport because every safety check and setup has to be 100% perfect in order to execute the skydiving perfectly each time.  If something does go wrong or you miss a safety check injury or death can occur.  That is why its important to triple check all your gear and equipment before skydiving or have an expert who has 1000's of jumps check your gear for you.  Skydiving is considered fun for some and scare for others.  If you are risk-averse you can consider this sport as a new opportunity for fun and enjoyment,5,5,5,5,"Correct general description, but some wording is awkward and the safety framing is somewhat exaggerated."
45,general_qa,What do I need to learn how to knit?,,"To learn to knit you will need a few basic knitting supplies. First, you will need some yarn, knitting needles, and if you’d like, a pattern. Knitting needles come in many sizes so if you plan to make a specific pattern follow the pattern instructions. You begin knitting by casting on a certain amount of stitches, then follow the pattern for specific knit or purl stitches.",4,4,5,5,
46,creative_writing,Write a letter to my boss that convinces them that I deserve a raise.,,"Hey boss, its me.  We have worked hard over these past few periods, and while I look back fondly on our memories, I have an ask of you.  You see, given how much I have sacrificed to deliver the results you have demanded over the past fiscal cycle, and we surpassed our goals, I was thinking perhaps you could show your appreciation with an reasonable increase in salary?  
Thank you for your consideration, and I look forward to surpassing our goals together in the future.",5,5,5,5,Creative response meets the request but is informal and less persuasive than a strong raise request.
47,general_qa,What's the best country in the world?,,"There is no single answer.  The United States of America has the largest economy of any country, but Qatar has the highest GDP per capita.  Finland, on the other hand, is the happiest country in the world.  Russia is the largest country by landmass.  Many consider New Zealand to be the most beautiful country.  Which country is best depends on what you are looking for.",4,4,5,5,Appropriately treats 'best' as subjective and provides relevant criteria.
48,classification,"In my upcoming trip across Europe I'm planning to visit the following countries: Germany, Austria, Hungary, Romania, Bulgaria and Greece. Are all of them part of the Schengen area?",,"Most of them are, but not all. Romania and Bulgaria are the two exceptions.",1,2,5,5,Romania and Bulgaria are now in the Schengen area.
49,classification,"Classify each of the following as either titles by George R.R. Martin or Robert Jordan: A Game of Thrones, Dying of the Light, The Armageddon Rag, A Storm of Swords, A Song for Lya, The Great Hunt, Towers of Midnight, Lord of Chaos, A Crown of Swords, Crossroads of Twilight",,"George R.R. Martin: A Game of Thrones, Dying of the Light, The Armageddon Rag, A Storm of Swords, A Song for Lya
Robert Jordan: The Great Hunt, Towers of Midnight, Lord of Chaos, A Crown of Swords, Crossroads of Twilight",5,5,5,5,
50,open_qa,What was the first commercial relational database product launched in the market?,,"Oracle Database (commonly referred to as Oracle DBMS, Oracle Autonomous Database, or simply as Oracle) is a multi-model database management system produced and marketed by Oracle Corporation. It was the first RDBMS product commercially available in the market in the year 1979.",5,5,5,5,
51,brainstorming,"Make a list, using dot points, of the last five cities who hosted the Olympics.",,"The last five cities to host the Olympic Games were:
- Tokyo, Japan (2021),
- Rio, Brazil (2016),
- London, England (2012),
- Beijing, China (2008),
- Athens, Greece (2004).",3,4,5,5,Answer depends on whether Summer or Winter Olympics are intended; it lists recent Summer hosts only and labels Tokyo by the event year rather than the original scheduled year.
52,classification,What qualifies an animal as a monotreme?,,"A monotreme is a mammal that lays eggs.  This is uncommon as there are only two mammals, the echidnas and platypus, that do so.  The majority of mammals give placenta birth, with another minority of mammals, known as marsupials, give birth to a fetus-like embryo which is dependent of mother's teat to provide nourishment until fully developed.",4,4,5,5,
53,open_qa,Why is November 14 celebrated as world diabetes day?,,Sir Frederick Banting who discovered Insulin in 1922 was born on November 14 which is why November 14 is celebrated as world diabetes day,4,5,5,5,"Correct reason, though the discovery date wording is simplified."
54,classification,Which is a species of fish? Mullet or Afro,,Mullet,,,,,
55,classification,"Classify these wines in Red or White:  Chardonnay ,Cabernet Sauvignon,Moscato, Merlot, Syrah, Malbec, Pinot Noir, Riesling, Sangiovese, Sauvignon Blanc",,"Chardonnay, Moscato, Sauvignon Blanc, Riesling are White Wines and Cabernet Sauvignon, Merlot, Syrah, Malbec, Pinot Noir and Sangiovese are Red Wines",5,5,5,5,
56,brainstorming,What would be a first date option in Boston?,,"There are many options for first dates in Boston. You could go for a nice walk in the Boston Common and grab a coffee/tea somewhere nearby. You could go to the Boston Aquarium and walk along the water afterwards. You could go to Seaport and spend time in the indoor mini golf spot. You could also wander around Quincy market and grab a bite to eat and then visit the Sam Adams brewery. Lastly, you could go for a walk along the esplanade and grab a drink and Night Shift brewery if the weather is nice.",5,5,5,5,
57,information_extraction,Who owns the largest share of the Vancouver Whitecaps FC?,"Vancouver Whitecaps FC is owned by a group of four investors: Greg Kerfoot, Steve Luczo, Jeff Mallett, and Steve Nash. The group has a collective net worth over $2 billion. Kerfoot has been the majority owner of the Whitecaps since 2002, when he saved the club from contraction after previous owner David Stadnyk left the club, selling it to United Soccer Leagues. Mallett, a former chief operating officer (COO) of Yahoo!, who was raised in Victoria, British Columbia, and played for several collegiate soccer teams. He later purchased minority stakes in the San Francisco Giants of Major League Baseball and English soccer club Derby County F.C. Having first met at a charity soccer event in 2005, Mallett partnered with Steve Nash—a two-time National Basketball Association (NBA) Most Valuable Player who was also raised in Victoria—to put together a bid for a minority share of English soccer club Tottenham Hotspur F.C. in 2008. After that transaction fell through, the duo contacted Kerfoot about a minority stake in the club. Nash is the older brother of former Whitecaps midfielder Martin Nash. The fourth partner, Steve Luczo, is the president, chairman, and CEO of Seagate Technology and a partner in Boston Basketball Partners L.L.C., a group who own the NBA Boston Celtics. Luczo met Kerfoot while the two were both employed by Seagate Technology, and Kerfoot contacted Luczo proposing he become part of the club's MLS bid. In 2009, the group paid a $35 million expansion fee to MLS for the right to join the league.","Of the group of 4 investors, Greg Kerfoot is the majority owner the Vancouver Whitecaps FC investors group.",5,5,5,5,
58,classification,"Classify the following as either red wines or white wines: Cabernet Sauvignon, Pinot Blanc, Riesling, Chardonnay, Pinot Grigio, Sauvignon Blanc, Merlot, Syrah, Shiraz",,"Red wines: Cabernet Sauvignon, Merlot, Syrah, Shiraz
White wines: Pinot Blanc, Riesling, Chardonnay, Pinot Grigio, Sauvignon Blanc",5,5,5,5,
59,summarization,What is The Dark Side of the Moon?,"The Dark Side of the Moon is the eighth studio album by the English rock band Pink Floyd, released on 1 March 1973 by Harvest Records. Developed during live performances before recording began, it was conceived as a concept album that would focus on the pressures faced by the band during their arduous lifestyle, and also deal with the mental health problems of former band member Syd Barrett, who departed the group in 1968. New material was recorded in two sessions in 1972 and 1973 at EMI Studios (now Abbey Road Studios) in London.",The Dark Side of the Moon is Pink Floyd's 8th studio album. It is about the band's difficult lifestyle and touches on the mental health problems of former band member Syd Barrett.,4,4,5,5,Captures the core themes but omits key identifying details such as release date
60,brainstorming,"Give me a list of the top ten movies, according to IMDb ratings.",,"1. The Shawshank Redemption (1994), 9.2 points
2. The Godfather (1972) 9.2 points
3. The Dark Knight (2008), 9.0 points
4. The Godfather Part II (1974), 9.0 points
5. 12 Angry Men (1957), 9.0 points
6. Schindler's List (1993), 8.9 points
7. The Lord of the Rings: The Return of the King (2003), 8.9 points
8. Pulp Fiction (1994), 8.8 points
9. The Lord of the Rings: The Fellowship of the Ring (2001), 8.8 points
10. The Good, the Bad and the Ugly (1966), 8.8 points",4,5,5,5,"IMDb rankings are time sensitive and ratings can change, but the list is broadly correct"
61,general_qa,What are different tools and channels used in organizations for communication and training?,,"There are many different tools and channels used by organizations for communication and training. These range from short and informal, such as a direct message or text, to long and formal, such as a blog article, webinar, or a training class.

Widely use short and informal tools include Slack, Microsoft Team, Skype, WhatsApp, and many more. These tools can incorporate text, audio file, video files, and links to files. They're usually used for one to one, one to many (small group), or one to many (large group). 

Email can be used both for short and informal and longer, more formal communications. In fact, emails have fully supplanted the ""interoffice memo"" used for decades in the corporate world.

Presentations are a widely used tool in enterprises today. These typically include both a live presenter and prepared slides for the audience to see, and usually, take away. Tools for creating these slide show, also referred to as ""decks,"" include Microsoft PowerPoint and Google Slides. Webinars are virtual presentations, nearly always using slides. 

An interesting evolution in corporate communication has been the advent of the ""slideument."" Coined by Nancy Duarte in her book, slide:ology, a slideument is ""the worst of both worlds."" Each slides features a great deal of text, which may or may not be the presenter's script. However, being slides, there is often little heed given to the principles of good writing. Directness, transitions, conciseness, clarity. 

A workshop or training event is another method of corporate communication. The key difference between this and other tools is that a workshop is usually for skill building of some type and incorporates (hopefully) a great deal of audience interaction (with the presenter and with other participants. Slides are often used, but other tools can be brought into play, such as flip charts, small group discussions, and assignments for individuals and groups.",5,5,4,5,Longer than necessary and somewhat repetitive.
62,information_extraction,"Extract universities Moret studied at and his year of graduation for each, and put them in a bulleted list.","Moret was born in 1953 in Vevey Switzerland, and did his undergraduate studies at the École Polytechnique Fédérale de Lausanne (EPFL), graduating in 1975. He went on to graduate studies at the University of Tennessee, earning a Ph.D. in 1980. He then joined the faculty of the University of New Mexico, where he remained until 2006, when he moved to EPFL. He retired from EPFL in December 2016.

In 1996, Moret founded the ACM Journal of Experimental Algorithmics, and he remained editor in chief of the journal until 2003. In 2001, Moret founded the Workshop in Algorithms for Bioinformatics (WABI) and remains on the Steering Committee for the conference.

In 2018, Moret was elected as a Fellow of the International Society for Computational Biology, for his outstanding contributions to the fields of computational biology and bioinformatics.","* École Polytechnique Fédérale de Lausanne (EPFL) (graduated 1975)
* University of Tennessee (graduated 1980)",5,5,5,5,
63,general_qa,How do I find my Tesla charging station?,,Access charge settings by touching Controls > Charging when Tesla is in Park. You can also touch the battery icon on the touchscreen to access charge settings.,2,2,3,5,"Answers how to access charging settings, not how to locate a Tesla charging station."
64,classification,"Tell me whether matches in each sport is usually played individually or on a team: baseball, golf, tennis, wrestling, hockey",,"Baseball: Team
Golf: Individually
Tennis: Individually
Wrestling: Individually
Hockey: Team",5,5,5,5,
65,classification,Classify if the following are hollywood or bollywood movies: Zanjeer; The Shawshank redemption; Sholay; Pride & prejudice,,Zanjeer and Sholay are bollywood moves. The Shawshank redemption and Pride & Prejudice are hollywood movies.,5,5,5,5,
66,open_qa,How many albums has Taylor Swift released?,,10 albums.,2,2,5,5,"The answer is outdated and time sensitive, no timeline added"
